id	initL	initR	finalL	finalR	message (DEL=deleted NOC=no change MOD=modified)
318	0	4979	104	4967	MOD	skipped 0 overlaps; used 28 overlaps
319	0	6440	183	6404	MOD	skipped 0 overlaps; used 24 overlaps
320	0	4708	77	4693	MOD	skipped 0 overlaps; used 25 overlaps
321	0	4693	143	4596	MOD	skipped 0 overlaps; used 17 overlaps
322	0	3797	219	3740	MOD	skipped 0 overlaps; used 16 overlaps
323	0	7106	272	7105	MOD	skipped 0 overlaps; used 33 overlaps
324	0	2392	3	2366	MOD	skipped 0 overlaps; used 15 overlaps
325	0	2370	0	2370	NOC	skipped 0 overlaps; used 15 overlaps
326	0	3197	2329	3196	DEL	skipped 0 overlaps; used 32 overlaps
327	0	2253	15	2198	MOD	skipped 0 overlaps; used 23 overlaps
328	0	5392	201	5364	MOD	skipped 0 overlaps; used 26 overlaps
329	0	5251	11	5242	MOD	skipped 0 overlaps; used 26 overlaps
330	0	5222	0	5041	MOD	skipped 0 overlaps; used 26 overlaps
331	0	5204	56	5152	MOD	skipped 0 overlaps; used 24 overlaps
332	0	10131	0	10118	MOD	skipped 0 overlaps; used 24 overlaps
333	0	12330	314	12316	MOD	skipped 0 overlaps; used 29 overlaps
334	0	10039	12	10039	MOD	skipped 0 overlaps; used 37 overlaps
335	0	1693	32	1408	MOD	skipped 0 overlaps; used 19 overlaps
336	0	2198	67	2071	MOD	skipped 0 overlaps; used 23 overlaps
337	0	8987	335	8950	MOD	skipped 0 overlaps; used 30 overlaps
338	0	12940	120	12930	MOD	skipped 0 overlaps; used 27 overlaps
339	0	8892	0	8891	MOD	skipped 0 overlaps; used 26 overlaps
340	0	15994	359	15994	MOD	skipped 0 overlaps; used 56 overlaps
341	0	2794	0	2784	MOD	skipped 0 overlaps; used 23 overlaps
342	0	2798	1	2784	MOD	skipped 0 overlaps; used 23 overlaps
343	0	11991	71	11955	MOD	skipped 0 overlaps; used 42 overlaps
344	0	8735	18	8674	MOD	skipped 0 overlaps; used 33 overlaps
345	0	10374	0	10342	MOD	skipped 0 overlaps; used 22 overlaps
346	0	6713	36	6694	MOD	skipped 0 overlaps; used 20 overlaps
347	0	4889	14	4845	MOD	skipped 0 overlaps; used 27 overlaps
348	0	7695	158	7695	MOD	skipped 0 overlaps; used 28 overlaps
349	0	11879	224	11872	MOD	skipped 0 overlaps; used 48 overlaps
350	0	11414	0	11376	MOD	skipped 0 overlaps; used 71 overlaps
351	0	19718	0	19718	NOV
352	0	5077	9	5028	MOD	skipped 0 overlaps; used 15 overlaps
353	0	3227	0	2548	MOD	skipped 0 overlaps; used 22 overlaps
354	0	4134	414	4114	MOD	skipped 0 overlaps; used 16 overlaps
355	0	3887	426	3120	MOD	skipped 0 overlaps; used 14 overlaps
356	0	3769	0	3769	NOV
357	0	7677	240	7647	MOD	skipped 0 overlaps; used 25 overlaps
358	0	3893	11	3886	MOD	skipped 0 overlaps; used 26 overlaps
359	0	4876	17	4875	MOD	skipped 0 overlaps; used 24 overlaps
360	0	12724	4	12723	MOD	skipped 0 overlaps; used 39 overlaps
361	0	4824	7	4824	MOD	skipped 0 overlaps; used 22 overlaps
362	0	12672	23	12671	MOD	skipped 0 overlaps; used 76 overlaps
363	0	7173	2	7172	MOD	skipped 0 overlaps; used 23 overlaps
364	0	2235	269	2182	MOD	skipped 0 overlaps; used 15 overlaps
365	0	3736	0	3735	MOD	skipped 0 overlaps; used 22 overlaps
366	0	10753	6409	10696	MOD	skipped 0 overlaps; used 31 overlaps
367	0	9738	0	9737	MOD	skipped 0 overlaps; used 43 overlaps
368	0	3423	1249	3422	MOD	skipped 0 overlaps; used 20 overlaps
369	0	2531	817	1569	DEL	skipped 0 overlaps; used 104 overlaps
370	0	3645	163	3644	MOD	skipped 0 overlaps; used 15 overlaps
371	0	1161	0	1161	NOV
372	0	1417	232	1354	MOD	skipped 0 overlaps; used 14 overlaps
373	0	0	0	0	NOV
374	0	1054	0	1054	NOV
375	0	8876	2	8864	MOD	skipped 0 overlaps; used 24 overlaps
376	0	4815	0	4793	MOD	skipped 0 overlaps; used 35 overlaps
377	0	22024	237	22017	MOD	skipped 0 overlaps; used 70 overlaps
378	0	10820	39	10820	MOD	skipped 0 overlaps; used 49 overlaps
379	0	10413	238	10211	MOD	skipped 0 overlaps; used 24 overlaps
380	0	21248	365	21248	MOD	skipped 0 overlaps; used 44 overlaps
381	0	2438	115	2354	MOD	skipped 0 overlaps; used 14 overlaps
382	0	1293	21	1276	MOD	skipped 0 overlaps; used 19 overlaps
383	0	6074	23	6073	MOD	skipped 0 overlaps; used 24 overlaps
